SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1064.45,1074.35,1035.60,1047.55,1035.60,1065.35,991,5557,5859457.00,
500003,AEGIS LOGIS ,B ,Q,245.00,254.00,241.00,246.25,246.25,245.15,1980,16867,4144963.00,
500008,AMAR RAJA BA,A ,Q,465.00,474.60,460.95,461.70,461.55,466.95,467,4257,1982777.00,
500009,A.SARABHAI  ,T ,Q,4.81,4.81,4.75,4.75,4.75,5.00,36,5225,24973.00,
500010,HDFC        ,A ,Q,1016.00,1016.10,982.00,990.75,990.75,1023.20,6416,95774,95333008.00,
500012,ANDHRA PETRO,B ,Q,10.30,10.30,9.50,9.64,9.64,10.03,266,58714,576150.00,
500013,ANSAL INFRAS,B ,Q,38.00,38.00,35.65,36.05,36.05,37.50,820,317713,11711960.00,
500014,APPLE FINANC,T ,Q,2.57,2.57,2.36,2.52,2.57,2.46,31,27349,68532.00,
500020,BOM DYEING  ,B ,Q,72.45,73.25,66.40,67.45,67.45,72.05,6703,552917,38749473.00,
500023,ASIANHOTNR  ,B ,Q,155.10,164.90,148.50,151.90,151.90,159.75,152,2722,425104.00,
500024,ASSAMCO     ,B ,Q,5.99,6.20,5.55,5.61,5.61,5.94,897,589263,3403160.00,
500027,ATUL LTD.   ,B ,Q,1004.65,1025.00,1004.65,1018.20,1018.20,993.65,1600,15745,15994990.00,
500028,ATV PROJECTS,T ,Q,4.24,4.60,4.23,4.23,4.23,4.45,42,3102,13449.00,
500029,AUTOLITE(I) ,B ,Q,25.85,25.85,25.00,25.10,25.00,26.00,10,950,23900.00,
500030,AUTORID.FIN ,T ,Q,3.00,3.00,3.00,3.00,3.00,2.90,4,2301,6903.00,
500031,BAJAJ ELECT.,B ,Q,343.65,344.45,301.15,313.60,313.60,342.70,1588,17063,5531711.00,
500032,BAJAJHIND.LT,B ,Q,27.00,28.15,25.30,25.55,25.55,27.25,3907,729209,19482103.00,
500033,FORCE MOTR  ,B ,Q,478.00,478.00,441.25,445.80,445.80,472.90,4104,106879,49141145.00,
500034,BAJFINANCE  ,A ,Q,2210.00,2235.00,2101.00,2122.10,2130.00,2202.05,358,1049,2286861.00,
500038,BALRAM.CHINI,B ,Q,79.25,81.40,77.10,77.65,77.65,79.25,1752,113860,8979665.00,
500039,BANCO PROD. ,B ,Q,130.00,134.05,123.00,125.15,125.15,129.05,2439,62397,7939167.00,
500040,CENTURY TEXT,A ,Q,578.90,583.30,539.10,543.35,543.35,579.90,9633,215563,120742640.00,XD
500041,BANNARI AMAN,B ,Q,1031.00,1031.00,979.00,989.50,989.50,1041.70,67,115,115286.00,
500042,BASF INDIA  ,B ,Q,863.00,865.00,822.15,830.70,832.00,856.65,386,1709,1440054.00,
500043,BATA INDIA  ,A ,Q,1292.40,1314.00,1250.00,1256.90,1256.90,1282.90,2762,23334,29775354.00,
500046,BEST&CROMPT.,T ,Q,6.25,6.79,6.24,6.24,6.24,6.56,38,3078,19353.00,
500048,BEML LTD    ,T ,Q,720.00,730.00,681.50,681.50,681.50,717.35,858,8251,5681031.00,
500049,BHARAT ELECT,A ,Q,1859.00,1930.85,1765.00,1779.50,1779.50,1840.90,4450,25101,46444117.00,
500052,BHANSALI ENG,B ,Q,20.30,20.30,19.00,19.75,19.85,19.85,69,2641,52181.00,
500055,BHUSH STEEL ,A ,Q,396.00,400.00,394.15,396.50,396.50,400.10,566,36591,14560495.00,
500057,ABCIL       ,B ,Q,201.00,208.70,191.55,192.55,192.55,202.60,434,6854,1369115.00,
500058,BIHAR SPONGE,T ,Q,4.13,4.15,4.13,4.15,4.15,4.30,16,4900,20307.00,
500059,BINANI IND. ,B ,Q,141.90,144.25,133.95,133.95,133.95,140.95,997,46238,6294155.00,
500060,BIRLA ERIC. ,T ,Q,64.40,64.40,59.85,59.85,59.85,63.00,216,24684,1503763.00,
500067,BLUE STAR   ,B ,Q,298.20,298.20,281.35,287.40,288.55,295.10,880,8046,2324268.00,
500068,DISA INDIA  ,B ,Q,3611.00,3800.00,3599.10,3700.00,3700.00,3848.00,12,12,44221.00,
500069,BNK CAPITAL ,B ,Q,25.45,25.45,24.75,25.10,24.75,27.40,12,209,5250.00,
500074,BPL LTD.    ,B ,Q,17.80,17.80,16.80,16.80,16.80,17.65,180,24809,420754.00,
500078,CAMPH.& ALL ,B ,Q,317.60,327.00,291.00,296.40,291.00,310.25,343,12800,3889268.00,
500083,CENTURY EXT ,T ,Q,1.81,1.95,1.80,1.80,1.80,1.89,21,6031,10985.00,
500084,CESC LTD.   ,A ,Q,701.00,701.00,630.00,636.35,636.35,691.00,5968,87286,57287015.00,
500085,CHAMBAL FERT,B ,Q,59.10,59.85,53.90,54.50,54.50,58.45,3605,265280,15012446.00,
500086,EXIDE IND.  ,A ,Q,151.90,153.00,143.30,144.65,144.65,151.15,9424,874883,127517544.00,XD
500087,CIPLA LTD.  ,A ,Q,433.00,444.80,430.50,435.75,435.75,435.00,5284,127344,55797750.00,
500089,DIC INDIA   ,B ,Q,447.80,454.20,440.05,443.70,449.00,453.00,78,423,188887.00,
500092,CRISIL LTD  ,A ,Q,1970.00,1975.00,1915.40,1937.35,1937.35,1917.90,943,1977,3847608.00,
500093,CROMPT.GREAV,A ,Q,192.20,195.20,166.85,172.10,172.10,191.15,20198,1064768,192367617.00,
500095,WYETH LTD.  ,B ,Q,914.85,930.75,907.00,922.35,918.00,918.15,249,1694,1556872.00,
500096,DABUR (I)   ,A ,Q,193.85,198.10,193.00,193.80,193.80,193.85,3783,137285,26839626.00,
500097,DALMIASUG   ,B ,Q,24.00,25.25,23.45,23.45,23.45,24.65,101,6090,146231.00,
500101,ARVIND Ltd  ,B ,Q,211.00,218.00,200.80,203.10,203.10,212.65,13329,557524,117426541.00,
