SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1100.00,1116.50,1090.10,1102.95,1102.95,1102.45,993,75723,83545603.00,
500003,AEGIS LOGIS ,B ,Q,271.00,284.40,269.35,281.10,281.10,271.65,4547,46813,13053317.00,
500008,AMAR RAJA BA,A ,Q,481.80,484.95,479.00,481.25,481.25,484.00,843,12658,6105330.00,
500009,A.SARABHAI  ,T ,Q,4.35,4.35,4.30,4.30,4.30,4.40,22,7055,30361.00,
500010,HDFC        ,A ,Q,974.50,988.00,970.00,981.05,981.05,973.45,3264,59850,58710431.00,
500012,ANDHRA PETRO,B ,Q,10.00,10.00,9.65,9.73,9.75,9.95,117,12848,125344.00,
500013,ANSAL INFRAS,B ,Q,42.00,42.30,40.60,40.95,40.95,41.90,734,67213,2757900.00,
500014,APPLE FINANC,T ,Q,2.74,2.74,2.49,2.56,2.60,2.61,46,12619,32588.00,
500020,BOM DYEING  ,B ,Q,74.50,77.15,74.20,75.15,75.15,73.70,13651,1128385,85581822.00,
500023,ASIANHOTNR  ,B ,Q,159.95,164.00,158.30,162.50,162.00,165.70,58,371,59927.00,
500024,ASSAMCO     ,B ,Q,6.10,6.10,5.83,5.96,5.94,6.15,364,173381,1031344.00,
500027,ATUL LTD.   ,B ,Q,1081.95,1081.95,1032.95,1042.30,1038.00,1067.45,2433,16160,17162925.00,
500028,ATV PROJECTS,T ,Q,3.73,4.03,3.73,4.00,4.00,3.86,43,8739,34205.00,
500029,AUTOLITE(I) ,B ,Q,26.00,26.00,24.15,24.15,24.15,25.00,26,3241,81050.00,
500030,AUTORID.FIN ,T ,Q,2.84,2.84,2.80,2.82,2.80,2.85,4,2,5.00,
500031,BAJAJ ELECT.,B ,Q,339.60,342.45,332.00,334.85,332.70,339.05,3840,20823,7008602.00,
500032,BAJAJHIND.LT,B ,Q,26.40,26.40,25.65,25.95,25.95,26.65,1943,373217,9708651.00,
500033,FORCE MOTR  ,B ,Q,529.00,557.80,521.00,536.45,536.45,532.35,12425,237639,128648908.00,
500034,BAJFINANCE  ,A ,Q,2210.00,2210.00,2156.00,2188.00,2185.00,2191.15,450,53965,118179195.00,
500038,BALRAM.CHINI,B ,Q,73.90,79.80,73.80,79.40,79.40,79.30,911,92558,7264974.00,
500039,BANCO PROD. ,B ,Q,136.65,136.65,133.00,133.50,134.35,136.65,930,27122,3640150.00,
500040,CENTURY TEXT,A ,Q,585.00,591.00,576.40,578.65,578.65,586.45,5076,101721,59350223.00,
500041,BANNARI AMAN,B ,Q,990.00,990.00,980.00,990.00,990.00,998.00,30,263,258908.00,
500042,BASF INDIA  ,B ,Q,851.70,859.95,850.00,854.10,850.50,857.90,105,554,473096.00,
500043,BATA INDIA  ,A ,Q,1284.75,1289.00,1265.00,1270.50,1270.50,1286.15,1943,15750,20104731.00,
500046,BEST&CROMPT.,T ,Q,6.00,6.20,6.00,6.20,6.20,6.10,9,530,3260.00,
500048,BEML LTD    ,T ,Q,680.00,710.00,665.00,696.35,696.35,685.50,1292,13979,9743260.00,
500049,BHARAT ELECT,A ,Q,1836.00,1877.45,1805.05,1853.10,1853.10,1839.05,1839,10300,18920908.00,
500051,BHAG GAS    ,Z ,Q,1.56,1.56,1.56,1.56,1.56,1.63,4,2000,3120.00,
500052,BHANSALI ENG,B ,Q,20.40,20.40,19.25,20.00,20.00,19.50,37,3155,62499.00,
500055,BHUSH STEEL ,A ,Q,396.00,398.80,391.15,394.60,393.20,395.55,797,45326,17940391.00,
500057,ABCIL       ,B ,Q,215.00,222.95,214.80,217.65,218.95,215.20,930,13200,2891914.00,
500058,BIHAR SPONGE,T ,Q,4.00,4.13,4.00,4.00,4.00,4.00,21,1707,6906.00,
500059,BINANI IND. ,B ,Q,134.00,137.75,130.50,132.00,132.00,133.50,2024,60618,8118407.00,
500060,BIRLA ERIC. ,T ,Q,61.00,64.15,61.00,63.95,64.15,63.35,150,7559,476291.00,
500067,BLUE STAR   ,B ,Q,303.50,312.00,295.00,303.00,303.00,306.70,1479,19483,5942199.00,
500068,DISA INDIA  ,B ,Q,3430.00,3695.00,3352.10,3695.00,3695.00,3438.15,56,258,909624.00,
500069,BNK CAPITAL ,B ,Q,29.45,29.45,27.00,27.00,27.00,28.70,8,60,1644.00,
500074,BPL LTD.    ,B ,Q,17.50,17.50,16.75,17.00,17.00,17.20,741,16009,271600.00,
500078,CAMPH.& ALL ,B ,Q,300.00,303.00,294.60,295.70,299.50,299.15,157,6518,1943867.00,
500083,CENTURY EXT ,T ,Q,1.76,1.80,1.76,1.80,1.80,1.79,20,44308,79551.00,
500084,CESC LTD.   ,A ,Q,652.00,669.35,641.00,653.85,653.85,651.35,5352,104845,69069276.00,
500085,CHAMBAL FERT,B ,Q,59.20,59.35,58.10,58.75,58.75,59.60,1745,133021,7803202.00,
500086,EXIDE IND.  ,A ,Q,153.30,160.90,149.65,159.70,159.70,153.45,10283,600947,94781932.00,
500087,CIPLA LTD.  ,A ,Q,439.95,443.90,439.25,440.95,440.95,437.15,3796,93959,41496740.00,
500089,DIC INDIA   ,B ,Q,464.75,481.40,464.75,475.10,475.10,463.50,62,510,242538.00,
500092,CRISIL LTD  ,A ,Q,1985.00,1999.90,1915.00,1987.40,1987.40,1951.40,2401,5701,11268557.00,
500093,CROMPT.GREAV,A ,Q,212.00,218.55,207.65,210.75,210.75,210.85,36939,1856463,395934548.00,
500095,WYETH LTD.  ,B ,Q,939.15,948.00,928.00,933.65,933.65,949.80,512,1310,1230816.00,
500096,DABUR (I)   ,A ,Q,194.50,195.40,193.10,194.05,194.05,194.00,2032,111611,21693936.00,
500097,DALMIASUG   ,B ,Q,22.80,23.90,22.80,23.65,23.50,23.75,42,4505,106437.00,
500101,ARVIND Ltd  ,B ,Q,230.50,235.75,227.45,230.45,230.45,231.05,10237,394657,91844769.00,
500102,BALARPUR IND,B ,Q,16.95,17.90,16.65,17.45,17.45,17.20,2774,875951,15271937.00,
500103,BHEL        ,A ,Q,242.45,242.50,235.35,237.95,237.95,243.05,11077,553796,131703121.00,
500104,HIND.PETRO  ,A ,Q,402.40,404.50,393.55,395.35,395.35,407.90,5471,170529,67839976.00,
500106,IFCI LTD    ,A ,Q,37.90,38.40,37.10,37.85,37.85,38.15,6192,1823186,68760603.00,
500108,MAHA.TELE   ,B ,Q,33.20,34.10,32.80,33.00,33.00,32.80,6168,1212865,40659427.00,
500109,MRPL        ,A ,Q,70.45,70.45,68.90,69.35,69.35,70.50,2330,155359,10813992.00,
500110,CHENNAI PET.,B ,Q,89.70,90.90,88.25,89.40,89.40,90.65,2112,125712,11265098.00,
500111,REL.CAP.    ,A ,Q,595.00,599.45,582.10,590.95,590.95,600.80,27780,760877,449803715.00,
500112,STATE BANK  ,A ,Q,2587.55,2587.55,2540.15,2561.45,2561.45,2597.65,21681,213017,546431406.00,
500113,STEEL AUTH. ,A ,Q,87.45,88.90,86.00,87.40,87.40,87.55,9272,897830,78577267.00,
500114,TITAN       ,A ,Q,355.00,355.00,328.30,329.65,329.65,334.10,4035,151443,50222570.00,
500116,IDBI BANK L ,A ,Q,94.35,94.35,92.60,93.55,93.55,94.70,4107,367373,34372408.00,
500117,DCW LTD.    ,B ,Q,24.90,25.40,24.45,25.00,25.00,25.15,1154,192596,4794725.00,
500119,DHAMPUR SUGA,B ,Q,58.15,60.20,57.60,59.90,59.25,58.70,541,38223,2255759.00,
500120,DIAMINES&CHM,B ,Q,33.00,33.50,31.55,31.95,31.55,32.15,55,3774,123439.00,
500123,ELANTAS     ,B ,Q,730.00,730.00,720.00,721.40,721.00,727.85,128,1115,808587.00,
500124,DR.REDDY'S  ,A ,Q,2647.75,2670.00,2636.30,2644.40,2644.40,2646.50,1625,10070,26681390.00,
500125,E.I.D.PAR   ,B ,Q,196.05,200.50,195.00,197.70,197.70,198.05,1581,29162,5768193.00,
500126,MERCK LTD   ,B ,Q,720.25,734.20,710.05,718.60,718.60,727.75,423,1725,1249268.00,
500128,ELEC.CASTING,B ,Q,31.40,32.70,30.85,31.20,31.20,31.80,1940,191733,6046681.00,
500132,EMPEE SUGARS,T ,Q,6.51,6.51,6.51,6.51,6.51,6.70,4,400,2604.00,
500133,ESAB INDIA  ,T ,Q,640.15,648.90,640.00,641.00,640.00,640.15,47,465,297832.00,
500134,ESSAR OIL   ,A ,Q,106.10,107.80,106.10,107.40,107.40,106.65,1509,136945,14683285.00,
500135,ESSEL PROP  ,B ,Q,103.80,106.50,102.00,105.40,105.50,103.35,1988,58464,6153061.00,
500136,ESTER INDUS.,T ,Q,20.75,21.50,20.35,21.15,20.65,21.40,92,20795,439836.00,
500139,FEDDER.LLYOD,B ,Q,77.95,83.45,76.05,79.50,79.50,78.15,3191,169227,13694487.00,
500141,FERRO ALLOYS,B ,Q,8.00,9.17,8.00,8.83,8.83,9.05,260,26034,227745.00,
500142,FGP LTD.    ,T ,Q,3.18,3.50,3.18,3.50,3.50,3.34,17,660,2116.00,
500144,FINOL. CABLE,B ,Q,204.90,210.20,202.05,203.10,203.10,205.95,2132,59271,12244232.00,
500145,FIRST LEASIN,Z ,Q,14.55,14.55,13.70,14.20,14.25,13.90,131,14441,207580.00,
500147,CMI FPE     ,B ,Q,520.00,520.00,500.00,501.65,501.00,520.00,25,202,101455.00,
500148,UFLEX LTD   ,B ,Q,123.55,131.65,121.75,128.70,128.70,123.75,4081,246076,31289773.00,
500150,FOSECO INDIA,B ,Q,700.00,715.90,700.00,705.60,714.90,700.40,68,188,132836.00,
500151,GOLDEN TOB  ,B ,Q,23.70,24.85,23.70,24.85,24.85,23.70,56,6929,172002.00,
500153,GANESH BENZO,B ,Q,5.72,6.58,5.72,6.20,6.20,6.10,26,2963,17519.00,
500155,GARDEN SILK ,B ,Q,46.30,47.80,46.25,46.60,46.60,46.85,268,11255,527727.00,
500159,METROGLOBL  ,B ,Q,57.75,61.60,55.50,57.50,55.50,55.65,46,3325,193029.00,
500160,GTL LTD.    ,B ,Q,23.50,23.60,22.95,23.15,23.15,23.50,379,35577,825542.00,
500162,PARRYSUGR   ,T ,Q,22.80,23.90,22.80,23.20,23.90,24.00,9,158,3639.00,
500163,GODFREY PH  ,B ,Q,2720.00,2729.80,2640.40,2712.10,2710.00,2718.75,392,1119,3030761.00,
500164,GODREJ IND  ,A ,Q,337.00,337.00,331.80,332.85,332.85,337.00,1188,35824,11951946.00,
500165,KANSAI NERO ,B ,Q,1575.05,1598.00,1562.50,1568.80,1562.50,1577.50,65,41,64784.00,
500166,GOODRICKE   ,B ,Q,176.05,182.00,176.05,176.90,176.90,176.65,896,28925,5172582.00,
500168,GOODYEAR (I),B ,Q,527.00,546.00,519.95,538.05,538.05,523.75,460,18244,9752747.00,
500170,GTN INDUS   ,T ,Q,14.68,14.68,13.70,14.68,14.68,14.00,12,96,1374.00,
500171,GHCL LTD    ,B ,Q,52.90,54.30,52.50,54.00,54.00,53.40,1434,82497,4434920.00,
