SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1046.00,1067.00,1020.00,1046.80,1047.05,1047.55,1733,10092,10514700.00,
500003,AEGIS LOGIS ,B ,Q,248.50,253.30,235.95,251.40,251.40,246.25,1720,23901,5829025.00,
500008,AMAR RAJA BA,A ,Q,462.00,462.00,453.00,455.65,455.65,461.70,627,7328,3340220.00,
500009,A.SARABHAI  ,T ,Q,4.60,4.90,4.52,4.87,4.90,4.75,41,4381,20185.00,
500010,HDFC        ,A ,Q,989.70,1011.00,980.15,983.75,983.75,990.75,4054,47133,46894294.00,
500012,ANDHRA PETRO,B ,Q,9.64,9.70,8.91,9.08,9.15,9.64,233,65072,599080.00,
500013,ANSAL INFRAS,B ,Q,36.30,37.85,35.00,37.85,37.85,36.05,599,72944,2723961.00,
500014,APPLE FINANC,T ,Q,2.53,2.53,2.45,2.45,2.45,2.52,26,8102,19997.00,
500020,BOM DYEING  ,B ,Q,67.80,69.30,65.50,67.20,67.20,67.45,6485,433555,29218845.00,
500023,ASIANHOTNR  ,B ,Q,155.00,155.00,149.00,151.70,151.00,151.90,117,2353,356447.00,
500024,ASSAMCO     ,B ,Q,5.63,5.73,5.40,5.56,5.68,5.61,514,328473,1817442.00,
500027,ATUL LTD.   ,B ,Q,1019.40,1023.00,970.10,1003.95,1003.95,1018.20,1229,8133,8096986.00,
500028,ATV PROJECTS,T ,Q,4.03,4.20,4.02,4.02,4.02,4.23,24,9551,38820.00,
500029,AUTOLITE(I) ,B ,Q,24.00,24.50,23.85,24.15,24.25,25.10,55,27993,674819.00,
500030,AUTORID.FIN ,T ,Q,3.04,3.15,3.04,3.06,3.06,3.00,61,32967,102666.00,
500031,BAJAJ ELECT.,B ,Q,322.35,328.70,318.50,322.40,320.25,313.60,1338,15531,5010260.00,
500032,BAJAJHIND.LT,B ,Q,25.80,25.80,24.60,24.65,24.65,25.55,3411,772464,19319804.00,
500033,FORCE MOTR  ,B ,Q,445.00,448.00,428.05,429.95,429.95,445.80,2663,60266,26331842.00,
500034,BAJFINANCE  ,A ,Q,2149.00,2214.95,2123.60,2134.70,2144.00,2122.10,475,1539,3311085.00,
500038,BALRAM.CHINI,B ,Q,77.85,78.00,71.80,72.55,73.10,77.65,1631,143650,10617493.00,
500039,BANCO PROD. ,B ,Q,132.00,132.00,121.00,121.45,122.00,125.15,1080,24314,3027467.00,
500040,CENTURY TEXT,A ,Q,542.50,557.65,524.55,547.15,547.15,543.35,6211,102747,55762995.00,
