SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1122.00,1145.00,1115.40,1130.30,1130.00,1119.75,2253,29583,33424326.00,
500003,AEGIS LOGIS ,B ,Q,261.00,272.90,256.30,269.05,269.05,261.40,4642,83068,22257193.00,
500008,AMAR RAJA BA,A ,Q,496.00,500.00,490.15,497.85,499.00,496.00,616,7689,3819865.00,
500009,A.SARABHAI  ,T ,Q,5.42,5.42,4.95,5.24,5.24,5.19,87,8272,41771.00,
500010,HDFC        ,A ,Q,1015.00,1020.25,999.95,1017.50,1017.50,1009.35,20672,238739,240725733.00,
500012,ANDHRA PETRO,B ,Q,10.80,10.80,10.41,10.46,10.45,10.44,204,33204,348202.00,
500013,ANSAL INFRAS,B ,Q,38.80,40.95,38.80,40.45,40.20,39.20,659,104267,4217306.00,
500014,APPLE FINANC,T ,Q,2.38,2.45,2.30,2.43,2.38,2.37,90,32710,78459.00,
500020,BOM DYEING  ,B ,Q,81.55,82.15,79.80,80.20,80.20,81.55,5599,487981,39529982.00,
500023,ASIANHOTNR  ,B ,Q,139.05,143.00,139.00,143.00,143.00,139.65,26,216,30695.00,
500024,ASSAMCO     ,B ,Q,6.56,6.69,6.10,6.17,6.17,6.52,1155,908328,5863808.00,
500027,ATUL LTD.   ,B ,Q,1010.00,1023.00,992.80,1021.20,1021.20,1006.90,2093,17757,17979449.00,
500028,ATV PROJECTS,T ,Q,4.95,5.16,4.91,4.93,4.93,4.92,102,21904,108031.00,
500029,AUTOLITE(I) ,B ,Q,28.00,28.00,27.35,27.95,27.95,27.80,25,2882,80308.00,
500030,AUTORID.FIN ,T ,Q,2.79,2.79,2.79,2.79,2.79,2.66,22,3363,9382.00,
500031,BAJAJ ELECT.,B ,Q,368.45,369.85,352.10,355.85,354.10,366.80,1756,17887,6399034.00,
500032,BAJAJHIND.LT,B ,Q,29.10,30.45,29.00,29.85,29.85,28.85,5020,1193785,35477576.00,
500033,FORCE MOTR  ,B ,Q,553.00,556.90,543.10,544.70,544.70,549.55,2299,77183,42251952.00,
500034,BAJFINANCE  ,A ,Q,2300.00,2370.00,2205.30,2220.40,2220.40,2289.00,2097,7141,16312973.00,
