SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1092.95,1111.00,1089.40,1102.45,1102.45,1090.30,1260,56268,61895371.00,
500003,AEGIS LOGIS ,B ,Q,265.00,274.00,260.15,271.65,272.90,267.10,2582,23886,6460217.00,XD
500008,AMAR RAJA BA,A ,Q,472.00,486.45,467.60,484.00,483.55,470.30,820,15317,7351484.00,
500009,A.SARABHAI  ,T ,Q,4.23,4.40,4.23,4.40,4.40,4.42,29,3577,15345.00,
500010,HDFC        ,A ,Q,980.00,985.00,970.00,973.45,973.45,975.90,3011,45179,44129626.00,
500012,ANDHRA PETRO,B ,Q,10.23,10.23,9.71,9.95,9.95,9.93,123,26808,267314.00,
500013,ANSAL INFRAS,B ,Q,42.00,42.40,40.70,41.90,41.90,41.40,968,89115,3695107.00,
500014,APPLE FINANC,T ,Q,2.37,2.61,2.37,2.61,2.61,2.49,66,17824,46050.00,
500020,BOM DYEING  ,B ,Q,71.50,74.00,71.15,73.70,73.70,71.30,7313,631073,45879721.00,
500023,ASIANHOTNR  ,B ,Q,165.50,166.80,162.05,165.70,165.70,166.60,40,643,106164.00,
500024,ASSAMCO     ,B ,Q,6.09,6.24,6.03,6.15,6.15,6.09,520,359601,2211961.00,
500027,ATUL LTD.   ,B ,Q,1009.90,1075.50,1005.00,1067.45,1075.00,1001.35,3020,25715,26938986.00,
500028,ATV PROJECTS,T ,Q,3.97,4.12,3.79,3.86,3.86,3.93,60,9203,36429.00,
500029,AUTOLITE(I) ,B ,Q,23.50,25.40,23.50,25.00,25.00,24.65,59,24255,610069.00,
500030,AUTORID.FIN ,T ,Q,3.00,3.00,2.85,2.85,2.85,3.00,4,800,2325.00,
500031,BAJAJ ELECT.,B ,Q,330.50,345.00,329.50,339.05,339.05,329.85,2965,15176,5154551.00,
500032,BAJAJHIND.LT,B ,Q,26.00,27.10,26.00,26.65,26.65,26.25,3013,545007,14554742.00,
500033,FORCE MOTR  ,B ,Q,489.90,537.85,489.90,532.35,532.35,491.20,12444,274733,141841722.00,
500034,BAJFINANCE  ,A ,Q,2220.00,2225.00,2185.05,2191.15,2191.15,2186.70,372,6585,14488289.00,
500038,BALRAM.CHINI,B ,Q,77.00,79.60,76.95,79.30,79.30,77.95,883,68909,5406000.00,
500039,BANCO PROD. ,B ,Q,138.80,138.80,135.00,136.65,136.65,131.75,2292,59701,8171266.00,
500040,CENTURY TEXT,A ,Q,572.00,589.90,568.00,586.45,586.45,571.40,4645,100586,58485700.00,
500041,BANNARI AMAN,B ,Q,998.00,998.00,998.00,998.00,998.00,1000.10,4,50,49900.00,
500042,BASF INDIA  ,B ,Q,847.00,862.70,842.00,857.90,857.90,845.30,253,24090,20479490.00,
500043,BATA INDIA  ,A ,Q,1277.00,1298.95,1273.10,1286.15,1285.20,1276.75,4293,17466,22478434.00,
500046,BEST&CROMPT.,T ,Q,6.30,6.30,6.10,6.10,6.10,6.22,6,443,2720.00,
500048,BEML LTD    ,T ,Q,653.00,685.50,636.10,685.50,685.50,652.90,1265,21809,14706389.00,
500049,BHARAT ELECT,A ,Q,1872.80,1876.75,1833.00,1839.05,1839.05,1858.45,1212,8246,15301296.00,
500051,BHAG GAS    ,Z ,Q,1.79,1.79,1.63,1.63,1.63,1.71,22,8130,14336.00,
500052,BHANSALI ENG,B ,Q,20.50,20.50,19.40,19.50,19.50,20.30,36,2331,45817.00,
500055,BHUSH STEEL ,A ,Q,398.50,398.90,393.05,395.55,394.95,397.35,709,42416,16799366.00,
500057,ABCIL       ,B ,Q,215.00,217.00,205.00,215.20,215.20,204.30,1097,21866,4657973.00,
500058,BIHAR SPONGE,T ,Q,4.00,4.21,3.94,4.00,4.00,4.14,37,12184,48352.00,
500059,BINANI IND. ,B ,Q,128.90,133.50,127.00,133.50,133.50,127.15,1016,44345,5804719.00,
500060,BIRLA ERIC. ,T ,Q,61.85,65.00,61.00,63.35,64.35,62.60,230,13631,848999.00,
500067,BLUE STAR   ,B ,Q,294.50,309.00,294.05,306.70,307.90,293.85,446,9779,2963046.00,
500068,DISA INDIA  ,B ,Q,3780.00,3780.00,3351.00,3438.15,3400.00,3538.00,20,85,292700.00,
500069,BNK CAPITAL ,B ,Q,29.05,29.05,26.00,28.70,28.70,24.30,10,211,6024.00,
500074,BPL LTD.    ,B ,Q,17.85,17.90,16.95,17.20,17.20,17.15,359,2782,47598.00,
500078,CAMPH.& ALL ,B ,Q,300.00,306.00,297.00,299.15,300.00,299.70,88,2309,693712.00,
500083,CENTURY EXT ,T ,Q,1.85,1.92,1.75,1.79,1.79,1.83,45,26508,48995.00,
500084,CESC LTD.   ,A ,Q,623.90,656.75,623.90,651.35,651.35,627.20,4374,70878,45831419.00,
500085,CHAMBAL FERT,B ,Q,56.80,60.00,56.75,59.60,59.60,56.50,4800,429778,25321609.00,
500086,EXIDE IND.  ,A ,Q,154.20,155.10,152.60,153.45,153.45,153.65,2355,102891,15818090.00,
500087,CIPLA LTD.  ,A ,Q,430.40,440.85,430.40,437.15,437.15,431.80,3202,101716,44520140.00,
500089,DIC INDIA   ,B ,Q,458.00,465.00,458.00,463.50,465.00,452.60,34,434,200170.00,
500092,CRISIL LTD  ,A ,Q,1854.00,1977.55,1850.00,1951.40,1977.55,1842.65,2127,6216,11897186.00,
500093,CROMPT.GREAV,A ,Q,199.80,216.70,198.00,210.85,210.85,185.85,65942,3303262,693290469.00,
500095,WYETH LTD.  ,B ,Q,921.30,967.50,916.00,949.80,949.80,917.05,951,59633,55142116.00,
500096,DABUR (I)   ,A ,Q,196.00,196.50,193.50,194.00,194.40,194.45,1765,78093,15195649.00,
500097,DALMIASUG   ,B ,Q,22.40,23.75,22.00,23.75,23.75,22.65,81,3426,79339.00,
500101,ARVIND Ltd  ,B ,Q,228.70,232.00,223.30,231.05,231.05,227.70,8151,283242,64738690.00,
500102,BALARPUR IND,B ,Q,16.90,17.45,16.60,17.20,17.20,16.65,3423,1031366,17588095.00,
500103,BHEL        ,A ,Q,242.00,244.55,239.90,243.05,243.05,240.40,9799,522772,126818758.00,
500104,HIND.PETRO  ,A ,Q,404.95,411.20,400.00,407.90,407.90,405.70,2751,67236,27346591.00,
500106,IFCI LTD    ,A ,Q,38.60,38.70,37.75,38.15,38.15,38.20,7619,2306109,88034862.00,
500108,MAHA.TELE   ,B ,Q,33.20,33.50,32.60,32.80,32.80,33.15,5162,1073289,35402838.00,
500109,MRPL        ,A ,Q,70.30,72.50,69.85,70.50,70.50,68.65,7760,700423,49860487.00,
500110,CHENNAI PET.,B ,Q,93.05,93.05,89.75,90.65,90.65,90.90,4612,276778,25402409.00,
