SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1057.45,1086.10,1054.85,1077.75,1077.75,1046.80,2399,49724,53459229.00,
500003,AEGIS LOGIS ,B ,Q,252.00,264.80,252.00,261.65,261.90,251.40,6180,31024,8041325.00,
500008,AMAR RAJA BA,A ,Q,456.00,466.40,455.00,458.00,458.55,455.65,1437,29296,13555233.00,
500009,A.SARABHAI  ,T ,Q,4.68,4.68,4.65,4.65,4.65,4.87,18,1487,6944.00,
500010,HDFC        ,A ,Q,988.00,991.55,969.15,977.40,977.40,983.75,5257,68270,66853231.00,
500012,ANDHRA PETRO,B ,Q,9.15,9.49,8.55,9.39,9.48,9.08,153,27489,253641.00,
500013,ANSAL INFRAS,B ,Q,37.80,39.70,37.65,39.45,39.45,37.85,633,63662,2461784.00,
500014,APPLE FINANC,T ,Q,2.33,2.56,2.33,2.45,2.45,2.45,46,11710,29280.00,
500020,BOM DYEING  ,B ,Q,67.95,70.65,67.80,70.05,70.05,67.20,7504,623139,43211247.00,
500023,ASIANHOTNR  ,B ,Q,155.00,158.90,152.45,155.00,155.00,151.70,85,621,96842.00,
500024,ASSAMCO     ,B ,Q,5.70,5.77,5.54,5.70,5.70,5.56,405,240915,1366742.00,
500027,ATUL LTD.   ,B ,Q,993.75,1018.35,993.75,1008.30,1002.00,1003.95,738,4073,4095315.00,
500028,ATV PROJECTS,T ,Q,4.00,4.02,3.90,4.00,4.00,4.02,40,4590,18313.00,
500029,AUTOLITE(I) ,B ,Q,24.40,25.35,23.65,25.05,24.50,24.15,85,15416,381716.00,
500030,AUTORID.FIN ,T ,Q,3.00,3.21,3.00,3.15,3.15,3.06,8,2200,6949.00,
500031,BAJAJ ELECT.,B ,Q,325.00,330.00,320.50,325.80,325.80,322.40,567,6278,2044092.00,
500032,BAJAJHIND.LT,B ,Q,24.80,25.70,24.80,25.50,25.50,24.65,2788,704047,17799398.00,
500033,FORCE MOTR  ,B ,Q,432.50,449.00,422.00,425.20,425.20,429.95,4812,163190,71181813.00,
500034,BAJFINANCE  ,A ,Q,2150.00,2214.90,2150.00,2184.65,2186.05,2134.70,464,1538,3366812.00,
500038,BALRAM.CHINI,B ,Q,73.35,76.15,73.00,75.50,75.50,72.55,1037,80374,5992064.00,
