SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
530131,UDAIPUR CEME,B ,Q,10.57,10.57,9.91,9.97,10.00,9.89,47,3860,38553.00,
530133,AMCO INDIA L,T ,Q,15.92,17.25,15.92,17.10,17.10,16.75,12,750,12155.00,
530135,OPTIEMUS    ,B ,Q,29.35,29.40,28.50,29.40,29.40,28.00,58,12806,375201.00,
530141,GYAN DEVELOP,T ,Q,6.55,6.55,6.55,6.55,6.55,6.43,2,200,1310.00,
530145,KISAN MOULD.,T ,Q,26.30,26.40,25.50,26.40,26.40,25.15,23,1600,41842.00,
530149,KSL & IND.  ,T ,Q,32.00,32.80,32.00,32.80,32.80,31.25,23,1724,55990.00,
530151,VIJAY TEXTIL,B ,Q,11.00,11.02,10.19,10.49,10.19,10.50,42,5461,58770.00,
530163,KERALA AYUR ,T ,Q,33.25,33.25,32.10,32.95,32.95,33.30,61,8941,290291.00,
530167,MOONGIPA CAP,T ,Q,7.61,7.61,7.61,7.61,7.61,7.25,2,300,2283.00,
530169,MOHIT PAPER ,T ,Q,3.92,3.92,3.92,3.92,3.92,3.93,2,906,3551.00,
530175,ODYSSEY TECH,T ,Q,14.00,14.65,14.00,14.65,14.65,14.45,10,5530,80670.00,
530185,SURAT TEXT. ,B ,Q,1.85,1.93,1.83,1.91,1.91,1.86,106,16261,30833.00,
530187,ATHARV ENT  ,B ,Q,4.95,5.09,4.95,5.09,5.09,4.85,10,3425,17345.00,
530191,CHROMATIC IN,B ,Q,4.18,4.50,4.17,4.46,4.40,4.27,45,21236,92031.00,
530199,THEMIS MEDIC,T ,Q,101.10,108.90,101.10,105.95,105.95,104.20,99,3242,346011.00,
530201,KALLAM SPG. ,B ,Q,57.00,57.95,56.10,56.30,56.10,56.55,270,12296,695790.00,
530207,BRAWN BIO   ,B ,Q,6.66,6.66,6.66,6.66,6.66,6.66,2,50,333.00,
530219,SHREEYASH   ,B ,Q,10.72,11.39,10.72,11.39,11.39,11.28,4,300,3283.00,
530231,SUBHASH SILK,T ,Q,16.95,16.95,16.95,16.95,16.95,16.15,2,38,644.00,
530233,AURO LAB.   ,B ,Q,5.23,5.72,5.23,5.72,5.72,5.45,15,2701,14725.00,
530239,SUVEN LIFE S,B ,Q,106.45,111.30,105.70,110.25,110.25,105.55,5286,313853,34373659.00,
530249,BRIDGE SECUR,B ,Q,7.25,7.25,7.25,7.25,7.25,7.25,4,500,3625.00,
530251,RISA INTL   ,B ,Q,1199.00,1200.00,1170.00,1189.65,1189.65,1199.00,371,29402,34960826.00,
530253,RAJ.TUBE MFG,B ,Q,21.95,21.95,21.95,21.95,21.95,20.95,9,1176,25813.00,
530255,KAY POW PAP ,B ,Q,13.40,13.57,11.70,11.79,11.70,13.00,243,83257,1062496.00,
530261,ARCUTTI.TEA ,T ,Q,11.50,11.50,11.50,11.50,11.50,11.00,2,5,57.00,
530263,GLOBAL CAP. ,B ,Q,18.15,18.15,18.15,18.15,18.15,18.50,9,600,10890.00,
530271,RICH UNV    ,B ,Q,40.25,40.50,40.25,40.50,40.50,41.00,8,205,8286.00,
530289,SP CAPITAL  ,B ,Q,20.00,20.00,19.35,20.00,20.00,20.10,25,10750,214175.00,
530291,RAJ AGRO MIL,B ,Q,4.99,4.99,4.99,4.99,4.99,4.76,8,2500,12475.00,
530299,KOTHARI PROD,B ,Q,214.00,217.00,211.00,212.40,212.40,210.85,101,1676,358604.00,
530305,PICCADILY AG,B ,Q,35.15,38.60,35.05,37.60,37.60,34.70,653,53152,1987927.00,
530307,CHAMANLAL SE,T ,Q,44.60,46.25,44.55,46.20,46.20,45.05,56,5075,231487.00,
530309,CHANDRA PRAB,B ,Q,16.70,16.70,16.70,16.70,16.70,15.20,6,500,8350.00,
530315,HIND.TIN WRK,B ,Q,51.50,54.35,51.00,54.05,54.35,49.45,138,9658,516535.00,
530317,GODAVARI DRU,B ,Q,10.50,10.50,10.49,10.49,10.49,10.43,6,1000,10495.00,
530321,UNIMIN INDIA,T ,Q,1.55,1.55,1.54,1.54,1.54,1.58,4,400,616.00,
530323,ERA INFRA   ,B ,Q,23.05,23.20,22.35,23.20,23.20,22.10,352,69781,1609102.00,
530331,PREMCO GLOB.,T ,Q,84.00,84.25,84.00,84.00,84.00,83.40,19,1600,134650.00,
530337,EXELON INFRA,B ,Q,3.40,3.40,3.10,3.39,3.39,3.40,14,1997,6494.00,
530341,MUKESH BABU ,B ,Q,29.00,29.00,27.00,27.00,27.00,26.80,10,310,8400.00,
530343,GENUS POWER ,B ,Q,24.25,25.35,24.10,25.35,25.35,24.15,373,160862,4052162.00,
530355,ASIAN OILFIE,B ,Q,52.05,52.05,50.80,52.05,52.05,49.60,101,8884,462134.00,
530357,KBS INDIA   ,B ,Q,11.09,11.09,11.09,11.09,11.09,11.67,4,663,7352.00,
