SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1058.00,1094.30,1035.60,1065.35,1065.00,1047.80,2140,15999,17016742.00,
500003,AEGIS LOGIS ,B ,Q,245.95,256.50,240.00,245.15,245.15,244.45,1311,18471,4551632.00,
500008,AMAR RAJA BA,A ,Q,470.00,475.00,448.15,466.95,465.55,466.00,1493,20724,9535183.00,
500009,A.SARABHAI  ,T ,Q,4.76,5.16,4.70,5.00,5.00,4.94,19,2753,13722.00,
500010,HDFC        ,A ,Q,1015.00,1044.70,1003.95,1023.20,1023.20,1014.00,11015,146077,150053936.00,
500012,ANDHRA PETRO,B ,Q,10.14,10.49,9.75,10.03,10.03,10.00,196,42992,438928.00,
500013,ANSAL INFRAS,B ,Q,36.50,38.35,35.05,37.50,37.50,36.55,735,160682,6060709.00,
500014,APPLE FINANC,T ,Q,2.26,2.46,2.26,2.46,2.46,2.35,43,12118,29287.00,
500020,BOM DYEING  ,B ,Q,71.00,74.70,69.10,72.05,72.05,70.50,11034,887232,63861340.00,
500023,ASIANHOTNR  ,B ,Q,172.85,172.85,154.00,159.75,160.00,144.05,1000,37374,6172629.00,
500024,ASSAMCO     ,B ,Q,5.65,6.17,5.53,5.94,5.94,5.61,1073,649076,3846785.00,
500027,ATUL LTD.   ,B ,Q,974.00,1005.00,955.00,993.65,993.65,975.05,779,4113,4020662.00,
500028,ATV PROJECTS,T ,Q,4.25,4.59,4.25,4.45,4.46,4.46,49,14178,60844.00,
500029,AUTOLITE(I) ,B ,Q,24.90,26.50,24.90,26.00,26.00,25.95,14,2120,54830.00,
500030,AUTORID.FIN ,T ,Q,2.88,3.15,2.88,2.90,2.88,3.03,47,34189,103703.00,
500031,BAJAJ ELECT.,B ,Q,340.00,354.00,305.85,342.70,344.50,339.90,2651,30785,10375846.00,
