SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1051.00,1066.00,1026.50,1047.80,1047.80,1042.75,1232,9874,10339481.00,
500003,AEGIS LOGIS ,B ,Q,250.60,250.60,233.15,244.45,247.00,249.60,1583,27577,6721002.00,
500008,AMAR RAJA BA,A ,Q,483.70,489.00,457.40,466.00,466.00,483.75,1501,20610,9788898.00,
500009,A.SARABHAI  ,T ,Q,4.75,4.95,4.74,4.94,4.95,4.98,46,6560,31953.00,
500010,HDFC        ,A ,Q,1022.00,1030.00,1006.00,1014.00,1014.00,1022.40,4316,86319,87774585.00,
500012,ANDHRA PETRO,B ,Q,10.06,10.09,9.85,10.00,10.00,10.06,215,36217,361542.00,
500013,ANSAL INFRAS,B ,Q,37.00,38.15,36.55,36.55,36.55,38.45,415,59922,2200239.00,
500014,APPLE FINANC,T ,Q,2.40,2.52,2.32,2.35,2.32,2.40,53,23933,59247.00,
500020,BOM DYEING  ,B ,Q,73.70,74.45,70.20,70.50,70.50,73.95,9226,808246,58380564.00,
500023,ASIANHOTNR  ,B ,Q,142.00,144.50,140.00,144.05,144.05,145.00,74,6656,957658.00,
500024,ASSAMCO     ,B ,Q,5.88,5.88,5.50,5.61,5.61,5.76,812,659433,3733726.00,
500027,ATUL LTD.   ,B ,Q,998.35,998.35,960.00,975.05,975.05,998.85,2114,11493,11288967.00,
500028,ATV PROJECTS,T ,Q,4.47,4.68,4.46,4.46,4.46,4.69,28,3882,17314.00,
500029,AUTOLITE(I) ,B ,Q,26.20,26.65,25.90,25.95,25.95,27.25,38,1751,45670.00,
500030,AUTORID.FIN ,T ,Q,3.06,3.06,2.79,3.03,3.06,2.92,147,123833,378029.00,
500031,BAJAJ ELECT.,B ,Q,343.00,343.75,329.90,339.90,343.30,345.35,1783,18327,6177508.00,
500032,BAJAJHIND.LT,B ,Q,27.90,28.60,26.70,26.90,26.90,27.95,4463,910474,24792177.00,
500033,FORCE MOTR  ,B ,Q,521.50,526.50,492.00,494.80,494.80,521.45,4348,105600,53082746.00,
500034,BAJFINANCE  ,A ,Q,2150.05,2284.00,2130.95,2183.55,2148.90,2143.10,1267,3826,8482942.00,
500038,BALRAM.CHINI,B ,Q,79.50,81.65,77.00,80.00,80.00,79.45,1859,105631,8387522.00,
500039,BANCO PROD. ,B ,Q,138.00,138.45,118.30,128.05,128.05,137.85,3362,82650,10850319.00,
500040,CENTURY TEXT,A ,Q,583.55,600.75,569.05,583.95,583.95,585.75,7835,170019,99614671.00,
500041,BANNARI AMAN,B ,Q,1049.95,1063.00,1040.05,1051.60,1063.00,1030.60,27,191,200627.00,
500042,BASF INDIA  ,B ,Q,860.00,876.25,848.00,849.30,849.30,863.55,296,1643,1412032.00,
500043,BATA INDIA  ,A ,Q,1268.75,1279.50,1224.05,1234.55,1234.55,1274.05,4214,25351,31620427.00,
500046,BEST&CROMPT.,T ,Q,6.90,6.90,6.90,6.90,6.90,7.26,22,6450,44505.00,
500048,BEML LTD    ,T ,Q,764.00,764.00,736.05,736.05,736.05,774.75,818,14466,10667457.00,
500049,BHARAT ELECT,A ,Q,2126.50,2150.00,1935.60,1960.55,1960.55,2140.00,7238,52184,105407986.00,
500052,BHANSALI ENG,B ,Q,19.90,20.00,19.00,19.85,20.00,19.60,92,5873,116832.00,
500055,BHUSH STEEL ,A ,Q,399.30,401.40,392.00,398.60,400.30,398.85,1017,50477,20127000.00,
500057,ABCIL       ,B ,Q,202.90,212.05,195.85,203.50,203.50,201.20,1616,20102,4128678.00,
500058,BIHAR SPONGE,T ,Q,4.12,4.34,4.11,4.11,4.11,4.25,17,2495,10289.00,
500059,BINANI IND. ,B ,Q,158.00,159.90,147.95,147.95,147.95,155.70,1213,42029,6385008.00,
500060,BIRLA ERIC. ,T ,Q,63.25,63.25,58.95,60.05,61.00,62.05,260,41970,2504798.00,
500067,BLUE STAR   ,B ,Q,291.50,294.30,277.00,291.95,291.95,289.60,475,3930,1138476.00,
500068,DISA INDIA  ,B ,Q,3600.00,3848.00,3600.00,3848.00,3848.00,3633.00,6,5,18248.00,
500074,BPL LTD.    ,B ,Q,17.45,17.75,17.00,17.10,17.35,17.85,190,23180,400105.00,
500078,CAMPH.& ALL ,B ,Q,318.90,318.90,292.05,301.30,301.30,318.90,303,9446,2868925.00,
500083,CENTURY EXT ,T ,Q,1.80,1.82,1.75,1.80,1.80,1.74,63,20744,36904.00,
500084,CESC LTD.   ,A ,Q,714.65,729.20,688.25,696.30,696.30,713.75,5866,79336,56190451.00,
500085,CHAMBAL FERT,B ,Q,59.00,59.80,56.20,56.60,56.60,59.20,4424,501572,29124788.00,
500086,EXIDE IND.  ,A ,Q,150.00,154.00,145.25,149.35,149.35,150.60,7415,347179,52189286.00,
500087,CIPLA LTD.  ,A ,Q,445.30,446.55,433.25,436.05,436.05,442.20,5514,160068,70588087.00,
500089,DIC INDIA   ,B ,Q,451.50,452.05,445.00,449.75,450.80,455.10,77,1445,650656.00,
500092,CRISIL LTD  ,A ,Q,1968.00,2070.00,1862.90,1902.95,1902.95,1956.55,2097,4745,9406588.00,
500093,CROMPT.GREAV,A ,Q,198.00,200.95,184.00,187.00,187.00,197.90,13551,590673,113069277.00,
500095,WYETH LTD.  ,B ,Q,945.00,945.00,915.00,922.55,925.00,943.50,363,1387,1289599.00,
