SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1135.00,1146.50,1008.90,1042.75,1042.75,1130.30,2564,17773,19397818.00,
500003,AEGIS LOGIS ,B ,Q,266.15,266.15,246.55,249.60,249.60,269.05,2377,41380,10675516.00,
500008,AMAR RAJA BA,A ,Q,499.00,500.00,478.00,483.75,483.75,497.85,911,12896,6331612.00,
500009,A.SARABHAI  ,T ,Q,5.01,5.05,4.98,4.98,4.98,5.24,78,6049,30382.00,
500010,HDFC        ,A ,Q,1022.00,1045.20,1018.10,1022.40,1022.40,1017.50,8445,129471,133768650.00,
500012,ANDHRA PETRO,B ,Q,10.40,11.00,9.88,10.06,10.06,10.46,437,97030,1020288.00,
500013,ANSAL INFRAS,B ,Q,40.95,40.95,38.45,38.45,38.45,40.45,371,48820,1932631.00,
500014,APPLE FINANC,T ,Q,2.34,2.40,2.34,2.40,2.40,2.43,20,1530,3636.00,
500020,BOM DYEING  ,B ,Q,80.35,80.35,73.25,73.95,73.95,80.20,7916,747373,57411983.00,
500023,ASIANHOTNR  ,B ,Q,140.00,145.00,140.00,145.00,145.00,143.00,45,1201,172063.00,
500024,ASSAMCO     ,B ,Q,6.05,6.38,5.62,5.76,5.76,6.17,1446,777584,4668605.00,
500027,ATUL LTD.   ,B ,Q,1020.00,1028.00,990.00,998.85,995.50,1021.20,1809,18547,18734391.00,
500028,ATV PROJECTS,T ,Q,4.94,5.05,4.69,4.69,4.69,4.93,70,44178,215371.00,
500029,AUTOLITE(I) ,B ,Q,27.95,27.95,26.60,27.25,27.50,27.95,61,6844,183134.00,
500030,AUTORID.FIN ,T ,Q,2.92,2.92,2.92,2.92,2.92,2.79,14,7500,21900.00,
500031,BAJAJ ELECT.,B ,Q,358.65,358.90,341.00,345.35,341.00,355.85,1627,17510,6103107.00,
500032,BAJAJHIND.LT,B ,Q,30.50,30.95,27.50,27.95,27.95,29.85,5983,1295547,38399474.00,
500033,FORCE MOTR  ,B ,Q,543.10,543.75,515.00,521.45,521.45,544.70,2965,78567,41835315.00,
500034,BAJFINANCE  ,A ,Q,2240.00,2255.00,2130.00,2143.10,2143.10,2220.40,796,3193,7035464.00,
500038,BALRAM.CHINI,B ,Q,83.50,83.65,79.00,79.45,79.45,82.05,2032,124432,10040006.00,
500039,BANCO PROD. ,B ,Q,137.60,143.80,136.75,137.85,137.85,135.05,3535,144062,20181934.00,
500040,CENTURY TEXT,A ,Q,621.00,623.05,578.00,585.75,585.75,620.45,6095,113980,68716841.00,
500041,BANNARI AMAN,B ,Q,1050.00,1050.00,1030.60,1030.60,1030.60,1050.00,12,42,43728.00,
500042,BASF INDIA  ,B ,Q,885.00,893.00,853.50,863.55,863.55,887.30,441,1458,1273197.00,
500043,BATA INDIA  ,A ,Q,1320.05,1340.00,1249.95,1274.05,1274.05,1323.30,1338,14083,18415214.00,
500046,BEST&CROMPT.,T ,Q,7.30,7.70,7.26,7.26,7.26,7.64,58,9135,66432.00,
500048,BEML LTD    ,T ,Q,820.00,851.40,774.75,774.75,774.75,815.50,2508,33479,26836483.00,
500049,BHARAT ELECT,A ,Q,2271.00,2295.00,2125.25,2140.00,2140.00,2274.15,3873,24006,52984604.00,
500052,BHANSALI ENG,B ,Q,20.70,20.70,19.20,19.60,19.60,19.95,30,1620,32247.00,
500055,BHUSH STEEL ,A ,Q,400.90,402.50,394.20,398.85,398.50,400.10,1375,57741,23052288.00,
500057,ABCIL       ,B ,Q,226.50,233.15,196.00,201.20,201.20,226.15,1988,43484,9490333.00,
500058,BIHAR SPONGE,T ,Q,4.40,4.41,4.23,4.25,4.25,4.20,52,13074,56761.00,
500059,BINANI IND. ,B ,Q,157.15,157.15,144.20,155.70,155.70,149.70,4606,300833,46692667.00,
500060,BIRLA ERIC. ,T ,Q,65.50,65.50,62.05,62.05,62.05,65.30,324,29458,1846126.00,
500067,BLUE STAR   ,B ,Q,302.30,302.50,285.30,289.60,290.00,301.10,818,9883,2906170.00,
500068,DISA INDIA  ,B ,Q,3680.00,3680.00,3633.00,3633.00,3633.00,3839.00,6,10,36471.00,
500069,BNK CAPITAL ,B ,Q,29.00,29.00,26.15,27.40,27.40,29.10,59,4519,126737.00,
500074,BPL LTD.    ,B ,Q,18.55,18.90,17.80,17.85,17.80,18.70,270,23085,418060.00,
500078,CAMPH.& ALL ,B ,Q,342.00,360.00,310.15,318.90,314.95,343.70,313,10988,3641184.00,
500083,CENTURY EXT ,T ,Q,1.77,1.85,1.73,1.74,1.74,1.80,62,70238,123317.00,
500084,CESC LTD.   ,A ,Q,779.10,785.60,707.00,713.75,713.75,778.55,5372,71150,53747807.00,
500085,CHAMBAL FERT,B ,Q,62.75,63.05,58.30,59.20,59.20,62.75,4960,431702,26325158.00,
500086,EXIDE IND.  ,A ,Q,158.05,160.20,148.05,150.60,150.60,158.30,7738,432703,66613585.00,
500087,CIPLA LTD.  ,A ,Q,450.45,460.45,437.95,442.20,442.20,449.30,10007,375140,169996019.00,
500089,DIC INDIA   ,B ,Q,457.65,459.90,450.25,455.10,450.25,450.15,40,1253,570667.00,
500092,CRISIL LTD  ,A ,Q,2010.00,2100.00,1883.20,1956.55,1900.00,1996.90,2887,8061,16578794.00,
500093,CROMPT.GREAV,A ,Q,211.00,214.20,195.30,197.90,197.90,209.40,16345,949784,196565343.00,
500095,WYETH LTD.  ,B ,Q,915.00,970.00,915.00,943.50,943.50,966.35,215,984,937363.00,
500096,DABUR (I)   ,A ,Q,192.00,197.00,191.00,192.30,192.30,192.95,4978,210035,40942559.00,
500097,DALMIASUG   ,B ,Q,25.30,26.20,25.20,25.30,25.20,25.80,62,9234,237430.00,
500101,ARVIND Ltd  ,B ,Q,243.00,245.30,224.00,228.65,228.65,242.85,8056,361007,85399435.00,
500102,BALARPUR IND,B ,Q,19.10,19.30,17.50,17.75,17.75,19.10,2661,993181,18411946.00,
500103,BHEL        ,A ,Q,265.50,266.40,239.20,243.15,243.15,264.75,25446,1278262,324260942.00,
500104,HIND.PETRO  ,A ,Q,411.15,414.65,382.10,386.80,386.80,409.05,6707,168403,67277701.00,
500106,IFCI LTD    ,A ,Q,41.10,41.60,36.65,37.30,37.30,41.20,8334,2245314,88079377.00,
500108,MAHA.TELE   ,B ,Q,37.90,38.45,34.00,34.55,34.55,38.05,8489,1647282,60308308.00,
500109,MRPL        ,A ,Q,72.05,72.10,67.20,67.95,67.95,71.80,1791,98030,6850390.00,
500110,CHENNAI PET.,B ,Q,96.95,97.00,91.00,91.70,91.70,96.45,1973,95002,8889090.00,
500111,REL.CAP.    ,A ,Q,653.70,657.40,594.05,607.70,607.70,651.55,35044,1048069,665375035.00,
500112,STATE BANK  ,A ,Q,2684.95,2695.00,2560.00,2576.75,2576.75,2682.45,23281,418523,1107351110.00,
500113,STEEL AUTH. ,A ,Q,94.00,94.40,88.00,88.95,88.95,93.80,7977,870068,79518887.00,
500114,TITAN       ,A ,Q,358.00,362.55,337.05,341.30,341.30,356.90,4267,153634,54255040.00,
500116,IDBI BANK L ,A ,Q,107.45,107.45,97.50,98.80,98.80,106.95,7773,620267,63493042.00,
500117,DCW LTD.    ,B ,Q,29.30,29.35,25.40,25.80,25.80,29.15,5615,1159919,31847577.00,
500119,DHAMPUR SUGA,B ,Q,65.70,65.70,59.20,60.55,60.55,64.75,1090,60424,3768604.00,
500120,DIAMINES&CHM,B ,Q,34.30,35.65,34.25,35.35,34.25,34.55,59,5787,204634.00,
500123,ELANTAS     ,B ,Q,750.00,750.00,699.95,715.75,715.75,743.30,565,6801,4913246.00,
500124,DR.REDDY'S  ,A ,Q,2700.00,2747.65,2652.00,2684.95,2684.95,2730.85,6286,28460,77330488.00,
500125,E.I.D.PAR   ,B ,Q,205.00,205.20,195.25,197.25,197.25,204.75,1094,30171,6037063.00,
500126,MERCK LTD   ,B ,Q,779.90,780.00,739.75,744.35,739.75,768.80,725,4315,3268697.00,
500128,ELEC.CASTING,B ,Q,34.00,34.05,31.10,31.45,31.45,34.05,2083,271427,8818329.00,
500132,EMPEE SUGARS,T ,Q,6.85,7.15,6.85,6.87,6.87,7.20,21,1915,13152.00,
500133,ESAB INDIA  ,T ,Q,676.00,678.00,665.00,673.10,673.10,675.15,49,384,258581.00,
500134,ESSAR OIL   ,A ,Q,106.35,107.45,105.15,105.70,105.70,106.95,1875,227353,24119645.00,
500135,ESSEL PROP  ,B ,Q,111.30,111.30,102.30,103.80,103.70,110.70,1220,48893,5236449.00,
